,Zeitstempel,I use the following databases for my scientific illustrations:,Regarding BioIcons,Is it easy to use the current BioIcons website?,"If you know about BioIcons, have you ever submitted or thought about submitting illustrations using the webform or via PullRequest?",I use the following tools to draw scientific illustrations or to assemble icons from BioIcons in illustrations,Which proposed features do you think are most useful to you: [Extension of the icon catalog based on community requests],Which proposed features do you think are most useful to you: [Collaborative web editor],Which proposed features do you think are most useful to you: [Templating mechanism to share graphics created using BioIcons for others to reuse],Which proposed features do you think are most useful to you: [Workshops on illustration licensing and creating illustrations using BioIcons],Country,Position
115,12.02.2024 19:28:25,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.",Microsoft PowerPoint,High priority,Unnecessary,High priority,Nice to have,USA,PhD student
116,19.02.2024 23:48:22,"BioIcons, BioRender, Wikimedia Commons, Powerpoint/Google presentations",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.",Microsoft PowerPoint,Low priority,Nice to have,High priority,High priority,Brazil,Professor
117,26.02.2024 13:36:22,"BioIcons, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.",Inkscape,High priority,Nice to have,Nice to have,Nice to have,UK,Professor
118,11.03.2024 11:12:02,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.","Inkscape, Adobe Illustrator",High priority,Low priority,Nice to have,Nice to have,Netherlands,PhD student
119,12.03.2024 01:50:14,"BioIcons, BioRender, SMART by Servier, SciDraw, Reactome",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.","Inkscape, Microsoft PowerPoint, Corel Draw",High priority,Nice to have,High priority,Low priority,Netherlands,PostDoc
120,22.03.2024 16:06:35,"BioIcons, BioRender, Open ClipArt, Wikimedia Commons, FreePik",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.","Inkscape, Adobe Illustrator, Microsoft PowerPoint",Nice to have,Nice to have,,Nice to have,Germany,not-permanent academic staff
121,16.04.2024 14:38:48,"BioRender, MindTheGraph, CANVA",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.",,High priority,Unnecessary,Unnecessary,High priority,,PhD student
122,18.04.2024 18:05:16,"BioIcons, BioRender, FreePik",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.",Microsoft PowerPoint,High priority,High priority,Nice to have,High priority,Brazil,PhD student
123,19.04.2024 12:28:34,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.","Adobe Illustrator, Microsoft PowerPoint",High priority,Low priority,High priority,High priority,,Undergraduate
124,23.04.2024 11:42:59,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.","Adobe Illustrator, Microsoft PowerPoint",High priority,Low priority,Nice to have,Nice to have,France,permanent academic staff
125,24.04.2024 10:08:56,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.",Microsoft PowerPoint,High priority,Nice to have,Nice to have,Nice to have,France,Professor
126,26.04.2024 19:51:32,"FreePik, FlatIcon",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.",Microsoft PowerPoint,Nice to have,Low priority,Nice to have,Nice to have,USA,PostDoc
127,02.05.2024 13:54:01,"BioRender, SMART by Servier, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.","BioRender WebEditor, Microsoft PowerPoint, gimp",Nice to have,Nice to have,High priority,High priority,,
128,06.05.2024 01:30:09,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.","Adobe Illustrator, Microsoft PowerPoint",High priority,Unnecessary,Nice to have,Nice to have,USA,Professor
129,13.05.2024 14:55:03,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.",Inkscape,High priority,Nice to have,Nice to have,Low priority,UK,Professor
130,16.05.2024 04:07:50,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.",Adobe Illustrator,High priority,High priority,Low priority,Nice to have,USA,Professor
131,24.05.2024 17:03:47,"BioIcons, BioRender, SMART by Servier, Wikimedia Commons, Other Stocklibrary such as Vecteezy",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.","Inkscape, Microsoft PowerPoint",High priority,Nice to have,Nice to have,Low priority,Germany,PostDoc
132,03.06.2024 16:16:54,BioRender,I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.",Affinity,High priority,Nice to have,Nice to have,Nice to have,,PostDoc
133,05.06.2024 19:46:45,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.","Inkscape, Microsoft PowerPoint",High priority,Low priority,Nice to have,Nice to have,USA,PhD student
134,07.06.2024 17:31:23,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.",Microsoft PowerPoint,High priority,Nice to have,High priority,High priority,,permanent academic staff
135,13.06.2024 11:25:51,"BioIcons, Reactome, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.","Microsoft PowerPoint, draw.io",High priority,Nice to have,Low priority,High priority,Canada,MSc student
136,16.06.2024 15:19:50,"BioIcons, BioRender, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.","Adobe Illustrator, Microsoft PowerPoint",High priority,Nice to have,Nice to have,Nice to have,Germany,Professor
137,20.06.2024 13:57:29,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.","Adobe Illustrator, Microsoft PowerPoint",High priority,,,,Germany,PostDoc
138,26.06.2024 11:26:37,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.",Microsoft PowerPoint,Nice to have,Nice to have,Nice to have,Nice to have,,permanent academic staff
139,05.07.2024 19:01:40,"BioIcons, BioRender, Make my own",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.",Adobe Illustrator,High priority,Nice to have,Low priority,High priority,USA,Professor
140,11.08.2024 15:15:29,MindTheGraph,I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.",Microsoft PowerPoint,Nice to have,Nice to have,Nice to have,Nice to have,China,PhD student
141,09.09.2024 23:18:08,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.",Microsoft PowerPoint,Nice to have,Nice to have,Low priority,Nice to have,,
142,14.10.2024 14:18:07,"BioIcons, BioRender, Reactome",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.","Inkscape, Microsoft PowerPoint",High priority,High priority,High priority,High priority,Venezuela,PostDoc
143,17.04.2024 16:31:32,Adobe Stock,Haven't used it yet but will do so in the future,Yes.,"No, because I did not know that I can do that.",Adobe Illustrator,Nice to have,Nice to have,Nice to have,Nice to have,USA,PostDoc
144,10.05.2024 18:31:25,"BioIcons, BioRender, PhyloPic",Haven't used it yet but will do so in the future,Yes.,"No, because I did not know that I can do that.",Affinity Designer,Nice to have,Low priority,Nice to have,Low priority,USA,PostDoc
145,19.07.2024 00:46:20,,I want to use it but the catalog is too limited.,,"No, because I did not know that I can do that.",Microsoft PowerPoint,,,,,,
146,17.08.2024 11:15:15,"BioRender, SciDraw",I do not use it because my university/lab has a premium subscription to Biorender or MindTheGraph.,Have never used it.,"No, because I do not want to share my illustrations.",BioRender WebEditor,High priority,High priority,High priority,High priority,,PhD student
147,22.05.2024 05:16:43,"BioIcons, BioRender, SciDraw",I want to use it but I do not know which editor  I can use.,Have never used it.,"No, because I do not want to share my illustrations.","Adobe Illustrator, BioRender WebEditor",,,,,,
148,16.03.2024 09:11:01,MindTheGraph,I do not use it because my university/lab has a premium subscription to Biorender or MindTheGraph.,Have never used it.,"No, because I do not want to share my illustrations.","Inkscape, Adobe Illustrator, Microsoft PowerPoint",High priority,,,,,PhD student
149,05.06.2024 08:08:26,"MindTheGraph, SMART by Servier",I do not use it because my university/lab has a premium subscription to Biorender or MindTheGraph.,It is hard to find the right illustrations.,"No, because I do not want to share my illustrations.",Inkscape,Unnecessary,Low priority,Unnecessary,Low priority,,Undergraduate
150,16.04.2024 06:58:20,BioRender,I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,"No, because I do not want to share my illustrations.",Adobe Illustrator,Nice to have,Nice to have,Nice to have,Nice to have,Spain,Professor
151,17.09.2024 22:41:04,"BioIcons, BioRender",I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,"No, because I do not want to share my illustrations.","Adobe Illustrator, BioRender WebEditor",Nice to have,Low priority,Unnecessary,Nice to have,USA,PhD student
152,24.10.2023 18:08:42,"BioIcons, BioRender, Open ClipArt, ","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I do not want to share my illustrations.","Adobe Illustrator, Microsoft PowerPoint",Nice to have,Nice to have,Nice to have,Nice to have,Brazil,Msc student
153,16.10.2024 09:36:17,SciDraw,I want to use it but the catalog is too limited.,Yes.,"No, because I do not want to share my illustrations.",Adobe Illustrator,High priority,High priority,High priority,High priority,,PhD student
154,10.11.2023 15:45:55,BioRender,Have not used Biolcons,Have never used it.,"No, because I lack the artistic skills to share my illustrations.",BioRender WebEditor,High priority,Nice to have,High priority,High priority,,PhD student
155,11.11.2023 12:52:41,BioRender,Have not used Biolcons,Have never used it.,"No, because I lack the artistic skills to share my illustrations.",BioRender WebEditor,High priority,Nice to have,High priority,High priority,,PhD student
156,24.04.2024 14:45:28,"BioIcons, BioRender",I do not use it because my university/lab has a premium subscription to Biorender or MindTheGraph.,Have never used it.,"No, because I lack the artistic skills to share my illustrations.","Adobe Illustrator, BioRender WebEditor",High priority,Low priority,Nice to have,High priority,,Undergraduate
157,16.05.2024 11:02:13,"BioIcons, BioRender, SMART by Servier",Haven't used it yet but will do so in the future,Have never used it.,"No, because I lack the artistic skills to share my illustrations.",Microsoft PowerPoint,High priority,Nice to have,Nice to have,Nice to have,,PhD student
158,21.11.2023 14:23:11,"BioIcons, BioRender, SciDraw","I use it for my illustrations, and the catalog is already big enough for me.",Have never used it.,"No, because I lack the artistic skills to share my illustrations.","Adobe Illustrator, BioRender WebEditor, Microsoft PowerPoint",High priority,Low priority,Low priority,High priority,,
159,12.12.2023 05:41:17,,I want to use it but I do not know which editor  I can use.,Have never used it.,"No, because I lack the artistic skills to share my illustrations.",Microsoft PowerPoint,,,,,,Undergraduate
160,24.04.2024 20:22:53,BioRender,I want to use it but I do not know which editor  I can use.,Have never used it.,"No, because I lack the artistic skills to share my illustrations.",Microsoft PowerPoint,High priority,High priority,High priority,Unnecessary,USA,PostDoc
161,17.05.2024 15:21:26,BioRender,I want to use it but I do not know which editor  I can use.,Have never used it.,"No, because I lack the artistic skills to share my illustrations.",,High priority,Low priority,Nice to have,Low priority,UK,Research associate
162,09.07.2024 05:12:23,"BioIcons, BioRender",I want to use it but I do not know which editor  I can use.,Have never used it.,"No, because I lack the artistic skills to share my illustrations.",Microsoft PowerPoint,High priority,High priority,High priority,High priority,,
